iso_au,shell_points,VS_min_au,VS_min_on,VS_max_au,VS_max_on,sigma_hole_au,sigma_hole_kcal,sigma_hole_pointbased_au,sigma_angle_deg,belt_min_au,belt_points,halogen
0.0005,43009,-0.01750,Br12,0.02482,H5,0.00985,6.18,0.01004,0.0,-0.01750,8172,Br12
0.0008,39451,-0.01846,Br12,0.02920,H5,0.01390,8.72,0.01456,0.0,-0.01846,7126,Br12
0.0010,38010,-0.01882,Br12,0.03154,H7,0.01629,10.22,0.01748,0.0,-0.01882,6768,Br12
0.0015,35283,-0.01911,Br12,0.03773,H5,0.02169,13.61,0.02097,0.0,-0.01911,5852,Br12
0.0020,33771,-0.01906,Br12,0.04243,H5,0.02652,16.64,0.02640,0.0,-0.01906,5366,Br12
0.0040,30320,-0.01732,Br12,0.06145,H9,0.04341,27.24,0.04394,0.0,-0.01732,4090,Br12
