stride,grid,spacing_bohr,cube_bytes,shell_points,VS_min_au,VS_min_on,VS_max_au,VS_max_on,sigma_hole_au,sigma_hole_kcal,sigma_hole_pointbased_au,belt_min_au,belt_points,halogen
1,251x251x251,0.1200,210865313,38010,-0.01882,Br12,0.03154,H7,0.01629,10.22,0.01748,-0.01882,6768,Br12
2,126x126x126,0.2400,26672646,4704,-0.01877,Br12,0.03121,H5,0.01610,10.10,0.01259,-0.01877,836,Br12
3,84x84x84,0.3600,7903686,1450,-0.01877,Br12,0.03121,H5,0.01604,10.07,0.01729,-0.01877,242,Br12
4,63x63x63,0.4800,3338895,590,-0.01877,Br12,0.03107,H7,0.01584,9.94,0.00546,-0.01877,103,Br12
6,42x42x42,0.7200,988806,195,-0.01877,Br12,0.03121,H5,0.01493,9.37,0.00341,-0.01877,32,Br12
8,32x32x32,0.9600,439238,71,-0.01871,Br12,0.02959,H5,0.01345,8.44,,,,Br12
